time(mins),Power (kW)
17.62338779,39.37649682
17.66466036,39.06729299
17.70593293,38.96964968
17.7472055,38.93710191
17.78847807,38.77436306
17.82975064,38.70926752
17.87102322,38.67671975
17.91229579,38.67671975
17.95356836,38.66044586
17.99484093,38.62789809
18.0361135,38.59535032
18.07738607,38.59535032
18.11865864,38.59535032
18.15993121,38.6116242
18.20120378,38.64417197
18.24247635,38.66044586
18.28374893,38.66044586
18.3250215,38.64417197
18.36629407,38.62789809
18.40756664,38.62789809
18.44883921,38.62789809
18.49011178,38.62789809
18.53138435,38.62789809
18.57265692,38.64417197
18.61392949,38.66044586
18.65520206,38.66044586
18.69647463,38.64417197
18.73774721,38.62789809
18.77901978,38.62789809
18.82029235,38.62789809
18.86156492,38.62789809
18.90283749,38.62789809
18.94411006,38.62789809
18.98538263,38.62789809
19.0266552,38.64417197
19.06792777,38.66044586
19.10920034,38.64417197
19.15047291,38.62789809
19.19174549,38.62789809
19.23301806,38.64417197
19.27429063,38.66044586
19.3155632,38.66044586
19.35683577,38.66044586
19.39810834,38.64417197
19.43938091,38.62789809
19.48065348,38.62789809
19.52192605,38.6116242
19.56319862,38.59535032
19.6044712,38.57907643
19.64574377,38.54652866
19.68701634,38.53025478
19.72828891,38.53025478
19.76956148,38.53025478
19.81083405,38.53025478
19.85210662,38.53025478
19.89337919,38.54652866
19.93465176,38.56280255
19.97592433,38.56280255
20.0171969,38.56280255
20.05846948,38.54652866
20.09974205,38.53025478
20.14101462,38.53025478
20.18228719,38.53025478
20.22355976,38.53025478
20.26483233,38.53025478
20.3061049,38.54652866
20.34737747,38.59535032
20.38865004,38.64417197
20.42992261,38.70926752
20.47119518,38.74181529
20.51246776,38.74181529
20.55374033,38.77436306
20.5950129,38.75808917
20.63628547,38.70926752
20.67755804,38.67671975
20.71883061,38.66044586
20.76010318,38.62789809
20.80137575,38.54652866
20.84264832,38.49770701
20.88392089,38.51398089
20.92519347,38.51398089
20.96646604,38.54652866
21.00773861,38.6116242
21.04901118,38.59535032
21.09028375,38.56280255
21.13155632,38.54652866
21.17282889,38.53025478
21.21410146,38.53025478
21.25537403,38.54652866
21.2966466,38.56280255
21.33791917,38.56280255
21.37919175,38.56280255
21.42046432,38.57907643
21.46173689,38.59535032
21.50300946,38.59535032
21.54428203,38.59535032
21.5855546,38.54652866
21.62682717,38.51398089
21.66809974,38.53025478
21.70937231,38.44888535
21.75064488,38.36751592
21.79191745,38.38378981
21.83319003,38.36751592
21.8744626,38.35124204
21.91573517,38.36751592
21.95700774,38.36751592
21.99828031,38.40006369
22.03955288,38.41633758
22.08082545,38.36751592
22.12209802,38.35124204
22.16337059,38.36751592
22.20464316,38.30242038
22.24591574,38.22105096
22.28718831,38.1722293
22.32846088,38.09085987
22.36973345,38.02576433
22.41100602,38.02576433
22.45227859,37.97694268
22.49355116,37.92812102
22.53482373,37.92812102
22.5760963,37.87929936
22.61736887,37.84675159
22.65864144,37.84675159
22.69991402,37.84675159
22.74118659,37.81420382
22.78245916,37.78165605
22.82373173,37.78165605
22.8650043,37.79792994
