Time_mins,power_kw,,,
48.21,155.21,,,
48.27,153.05,,,
48.32,156.61,,,
48.38,152.46,,,
48.44,154.08,,,
48.50,158.20,,,
48.55,157.66,,,
48.61,157.61,,,
48.67,156.08,,,
48.73,157.16,,,
48.78,157.91,,,
48.84,158.42,,,
48.90,156.26,,,
48.96,155.18,,,
49.01,155.72,,,
49.07,158.02,,,
49.13,157.57,,,
49.19,157.57,,,
49.24,157.88,,,
49.30,158.42,,,
49.36,156.35,,,
49.42,157.08,,,
49.47,158.16,,,
49.53,156.30,,,
49.59,157.57,,,
49.65,157.57,,,
49.70,156.11,,,
49.76,156.65,,,
49.82,158.44,,,
49.88,158.44,,,
49.93,158.44,,,
49.99,158.44,,,
50.05,158.44,,,
50.11,158.44,,,
50.16,156.95,,,
50.22,157.49,,,
50.28,158.40,,,
50.34,158.93,,,
50.39,157.31,,,
50.45,156.70,,,
50.51,157.56,,,
50.57,156.48,,,
50.63,157.14,,,
50.68,156.06,,,
50.74,156.26,,,
50.80,159.31,,,
50.86,159.31,,,
50.91,159.01,,,
50.97,158.47,,,
51.03,158.44,,,
51.09,158.07,,,
51.14,156.99,,,
51.20,156.78,,,
51.26,155.97,,,
51.32,157.05,,,
51.37,157.02,,,
51.43,155.94,,,
51.49,158.17,,,
51.55,157.10,,,
51.60,155.48,,,
51.66,156.60,,,
51.72,156.63,,,
51.78,155.54,,,
51.83,156.83,,,
51.89,155.21,,,
51.95,157.16,,,
52.01,157.44,,,
52.06,156.90,,,
52.12,156.70,,,
52.18,156.71,,,
52.24,157.25,,,
52.29,156.92,,,
52.35,155.29,,,
52.41,155.39,,,
52.47,155.93,,,
52.52,156.47,,,
52.58,156.08,,,
52.64,155.00,,,
52.70,155.48,,,
52.75,156.02,,,
52.81,156.56,,,
52.87,154.96,,,
52.93,155.90,,,
52.98,156.44,,,
53.04,158.44,,,
53.10,158.44,,,
53.16,156.21,,,
53.21,157.57,,,
53.27,157.57,,,
53.33,156.94,,,
53.39,156.70,,,
53.44,156.70,,,
53.50,158.19,,,
53.56,157.65,,,
53.62,156.29,,,
53.67,156.83,,,
53.73,157.37,,,
53.79,155.49,,,
53.85,156.68,,,
53.90,155.60,,,
53.96,155.18,,,
54.02,155.72,,,
54.08,156.05,,,
54.13,156.32,,,
54.19,156.59,,,
54.25,157.01,,,
54.31,157.55,,,
54.36,157.05,,,
54.42,156.70,,,
54.48,156.70,,,
54.54,156.70,,,
54.59,156.77,,,
54.65,157.31,,,
54.71,156.11,,,
