Time_mins,Power (kW)
26.14792899,39.35553191
26.20118343,39.3412766
26.25443787,39.3412766
26.30769231,39.35553191
26.36094675,39.36978723
26.41420118,39.36978723
26.46745562,39.36978723
26.52071006,39.35553191
26.5739645,39.3412766
26.62721893,39.3412766
26.68047337,39.36978723
26.73372781,39.41255319
26.78698225,39.42680851
26.84023669,39.42680851
26.89349112,39.41255319
26.94674556,39.39829787
27,39.39829787
27.05325444,39.38404255
27.10650888,39.36978723
27.15976331,39.36978723
27.21301775,39.35553191
27.26627219,39.3412766
27.31952663,39.35553191
27.37278107,39.36978723
27.4260355,39.36978723
27.47928994,39.38404255
27.53254438,39.39829787
27.58579882,39.38404255
27.63905325,39.36978723
27.69230769,39.36978723
27.74556213,39.35553191
27.79881657,39.3412766
27.85207101,39.3412766
27.90532544,39.3412766
27.95857988,39.32702128
28.01183432,39.31276596
28.06508876,39.31276596
28.1183432,39.31276596
28.17159763,39.3412766
28.22485207,39.36978723
28.27810651,39.36978723
28.33136095,39.38404255
28.38461538,39.38404255
28.43786982,39.36978723
28.49112426,39.36978723
28.5443787,39.35553191
28.59763314,39.32702128
28.65088757,39.31276596
28.70414201,39.32702128
28.75739645,39.35553191
28.81065089,39.36978723
28.86390533,39.36978723
28.91715976,39.36978723
28.9704142,39.35553191
29.02366864,39.3412766
29.07692308,39.3412766
29.13017751,39.3412766
29.18343195,39.32702128
29.23668639,39.31276596
29.28994083,39.31276596
29.34319527,39.3412766
29.3964497,39.36978723
29.44970414,39.38404255
29.50295858,39.38404255
29.55621302,39.39829787
29.60946746,39.42680851
29.66272189,39.42680851
29.71597633,39.42680851
29.76923077,39.41255319
29.82248521,39.39829787
29.87573964,39.39829787
29.92899408,39.39829787
29.98224852,39.39829787
30.03550296,39.36978723
30.0887574,39.3412766
30.14201183,39.3412766
30.19526627,39.35553191
30.24852071,39.35553191
30.30177515,39.3412766
30.35502959,39.3412766
30.40828402,39.32702128
30.46153846,39.31276596
30.5147929,39.32702128
30.56804734,39.35553191
30.62130178,39.36978723
30.67455621,39.36978723
30.72781065,39.38404255
30.78106509,39.39829787
30.83431953,39.39829787
30.88757396,39.41255319
30.9408284,39.42680851
30.99408284,39.42680851
31.04733728,39.42680851
31.10059172,39.39829787
31.15384615,39.36978723
31.20710059,39.36978723
31.26035503,39.36978723
31.31360947,39.3412766
31.36686391,39.31276596
31.42011834,39.31276596
31.47337278,39.31276596
31.52662722,39.3412766
31.57988166,39.36978723
31.63313609,39.36978723
31.68639053,39.36978723
31.73964497,39.38404255
31.79289941,39.39829787
31.84615385,39.39829787
31.89940828,39.39829787
31.95266272,39.38404255
32.00591716,39.36978723
32.0591716,39.36978723
32.11242604,39.35553191
32.16568047,39.3412766
32.21893491,39.3412766
32.27218935,39.35553191
32.32544379,39.36978723
32.37869822,39.36978723
32.43195266,39.38404255
32.4852071,39.39829787
32.53846154,39.39829787
32.59171598,39.41255319
32.64497041,39.42680851
32.69822485,39.42680851
32.75147929,39.42680851
32.80473373,39.44106383
32.85798817,39.44106383
32.9112426,39.42680851
32.96449704,39.42680851
33.01775148,39.44106383
33.07100592,39.45531915
33.12426036,39.45531915
33.17751479,39.45531915
33.23076923,39.44106383
33.28402367,39.42680851
33.33727811,39.42680851
33.39053254,39.41255319
33.44378698,39.38404255
33.49704142,39.36978723
33.55029586,39.38404255
33.6035503,39.41255319
33.65680473,39.44106383
33.71005917,39.45531915
33.76331361,39.45531915
33.81656805,39.44106383
33.86982249,39.42680851
33.92307692,39.42680851
33.97633136,39.42680851
34.0295858,39.41255319
34.08284024,39.39829787
34.13609467,39.39829787
34.18934911,39.39829787
34.24260355,39.38404255
34.29585799,39.39829787
34.34911243,39.44106383
34.40236686,39.44106383
34.4556213,39.41255319
34.50887574,39.38404255
34.56213018,39.35553191
34.61538462,39.3412766
34.66863905,39.3412766
34.72189349,39.32702128
34.77514793,39.32702128
34.82840237,39.3412766
34.8816568,39.3412766
34.93491124,39.3412766
34.98816568,39.35553191
35.04142012,39.35553191
35.09467456,39.3412766
35.14792899,39.3412766
35.20118343,39.32702128
35.25443787,39.31276596
35.30769231,39.31276596
35.36094675,39.31276596
35.41420118,39.32702128
35.46745562,39.3412766
35.52071006,39.3412766
35.5739645,39.3412766
35.62721893,39.3412766
35.68047337,39.3412766
35.73372781,39.35553191
35.78698225,39.36978723
35.84023669,39.36978723
35.89349112,39.36978723
35.94674556,39.35553191
36,39.32702128
36.05325444,39.31276596
36.10650888,39.31276596
36.15976331,39.31276596
36.21301775,39.31276596
36.26627219,39.32702128
36.31952663,39.3412766
36.37278107,39.3412766
36.4260355,39.3412766
36.47928994,39.32702128
36.53254438,39.28425532
36.58579882,39.25574468
36.63905325,39.25574468
36.69230769,39.28425532
36.74556213,39.32702128
36.79881657,39.3412766
36.85207101,39.3412766
36.90532544,39.35553191
36.95857988,39.39829787
37.01183432,39.44106383
37.06508876,39.45531915
37.1183432,39.45531915
37.17159763,39.44106383
37.22485207,39.41255319
37.27810651,39.41255319
37.33136095,39.41255319
37.38461538,39.38404255
37.43786982,39.35553191
37.49112426,39.35553191
37.5443787,39.31276596
37.59763314,39.27
37.65088757,39.25574468
37.70414201,39.22723404
37.75739645,39.22723404
37.81065089,39.27
37.86390533,39.31276596
37.91715976,39.31276596
37.9704142,39.29851064
38.02366864,39.28425532
38.07692308,39.28425532
38.13017751,39.28425532
38.18343195,39.29851064
38.23668639,39.31276596
38.28994083,39.29851064
38.34319527,39.28425532
38.3964497,39.28425532
38.44970414,39.27
38.50295858,39.25574468
38.55621302,39.25574468
38.60946746,39.25574468
38.66272189,39.28425532
38.71597633,39.31276596
38.76923077,39.31276596
38.82248521,39.31276596
38.87573964,39.29851064
38.92899408,39.27
38.98224852,39.24148936
39.03550296,39.21297872
39.0887574,39.1987234
39.14201183,39.1987234
39.19526627,39.22723404
39.24852071,39.25574468
39.30177515,39.22723404
39.35502959,39.1987234
39.40828402,39.1987234
39.46153846,39.1987234
39.5147929,39.21297872
39.56804734,39.25574468
39.62130178,39.31276596
39.67455621,39.3412766
39.72781065,39.3412766
39.78106509,39.3412766
39.83431953,39.31276596
39.88757396,39.28425532
39.9408284,39.28425532
39.99408284,39.28425532
40.04733728,39.29851064
40.10059172,39.31276596
40.15384615,39.31276596
40.20710059,39.32702128
40.26035503,39.35553191
40.31360947,39.36978723
40.36686391,39.36978723
40.42011834,39.36978723
40.47337278,39.35553191
40.52662722,39.3412766
40.57988166,39.3412766
40.63313609,39.35553191
40.68639053,39.36978723
40.73964497,39.36978723
40.79289941,39.36978723
40.84615385,39.36978723
40.89940828,39.38404255
40.95266272,39.39829787
41.00591716,39.39829787
41.0591716,39.38404255
41.11242604,39.35553191
41.16568047,39.3412766
41.21893491,39.3412766
41.27218935,39.3412766
41.32544379,39.32702128
41.37869822,39.29851064
41.43195266,39.28425532
41.4852071,39.28425532
41.53846154,39.29851064
41.59171598,39.31276596
41.64497041,39.31276596
41.69822485,39.29851064
41.75147929,39.28425532
41.80473373,39.28425532
41.85798817,39.29851064
41.9112426,39.3412766
41.96449704,39.36978723
42.01775148,39.35553191
42.07100592,39.32702128
42.12426036,39.32702128
42.17751479,39.29851064
42.23076923,39.24148936
42.28402367,39.22723404
42.33727811,39.22723404
42.39053254,39.22723404
42.44378698,39.21297872
42.49704142,39.14170213
42.55029586,39.11319149
42.6035503,39.01340426
42.65680473,38.92787234
42.71005917,38.82808511
42.76331361,38.72829787
42.81656805,38.6712766
42.86982249,38.6
42.92307692,38.57148936
42.97633136,38.45744681
43.0295858,38.40042553
43.08284024,38.38617021
43.13609467,38.32914894
43.18934911,38.28638298
43.24260355,38.3006383
43.29585799,38.24361702
43.34911243,38.12957447
43.40236686,38.10106383
43.4556213,38.05829787
43.50887574,37.97276596
43.56213018,37.95851064
43.61538462,37.98702128
43.66863905,38.02978723
43.72189349,38.04404255
43.77514793,38.08680851
43.82840237,38.12957447
43.8816568,38.17234043
43.93491124,38.24361702
43.98816568,38.28638298
44.04142012,38.32914894
44.09467456,38.37191489
44.14792899,38.37191489
44.20118343,38.34340426
44.25443787,38.32914894
44.30769231,38.28638298
44.36094675,38.25787234
44.41420118,38.25787234
44.46745562,38.24361702
44.52071006,38.20085106
44.5739645,38.15808511
44.62721893,38.14382979
44.68047337,38.14382979
44.73372781,38.14382979
44.78698225,38.11531915
44.84023669,38.08680851
44.89349112,38.07255319
44.94674556,38.01553191
45,37.98702128
45.05325444,38.0012766
45.10650888,38.0012766
45.15976331,37.98702128
45.21301775,37.67340426
45.26627219,37.70191489
45.31952663,36.53297872
45.37278107,35.69191489
45.4260355,35.05042553
45.47928994,33.88148936
45.53254438,33.62489362
45.58579882,33.35404255
45.63905325,33.51085106
45.69230769,33.49659574
45.74556213,33.33978723
45.79881657,33.42531915
45.85207101,33.68191489
45.90532544,34.03829787
45.95857988,34.66553191
46.01183432,35.27851064
46.06508876,35.74893617
46.1183432,35.9912766
46.17159763,36.01978723
46.22485207,36.01978723
46.27810651,36.06255319
46.33136095,36.07680851
46.38461538,36.06255319
46.43786982,36.03404255
46.49112426,35.96276596
46.5443787,35.92
46.59763314,35.93425532
46.65088757,35.86297872
46.70414201,35.80595745
46.75739645,35.83446809
46.81065089,35.70617021
46.86390533,35.47808511
46.91715976,35.27851064
46.9704142,35.07893617
47.02366864,34.76531915
47.07692308,34.6512766
47.13017751,34.55148936
47.18343195,34.38042553
47.23668639,34.33765957
47.28994083,34.15234043
47.34319527,34.09531915
47.3964497,33.32553191
47.44970414,32.95489362
47.50295858,32.25638298
47.55621302,31.44382979
47.60946746,31.3012766
47.66272189,30.88787234
47.71597633,30.78808511
47.76923077,30.6312766
47.82248521,30.6312766
47.87573964,30.61702128
47.92899408,30.60276596
47.98224852,30.50297872
48.03550296,30.51723404
48.0887574,30.36042553
48.14201183,30.1893617
48.19526627,30.16085106
48.24852071,29.98978723
48.30177515,29.83297872
48.35502959,29.64765957
